modelo,variavel,h,q16,q50,q84
K = 2,PIB real,32,-0.1131340959752965,0.00962536040190869,0.2014381523873349
K = 2,PIB real,33,-0.11246801329816997,0.00959928813396101,0.19865614911011514
K = 2,PIB real,34,-0.11372956400550971,0.009180199699973043,0.19914310292607149
K = 2,PIB real,35,-0.1159442805135258,0.010116826091258954,0.19739033604142853
K = 2,PIB real,36,-0.11612918415328673,0.00919566377220338,0.19702029500285875
K = 2,PIB real,37,-0.11649339537490919,0.007809831502580288,0.194208179722034
K = 2,PIB real,38,-0.1155245685290105,0.008309450189764603,0.19442202348162654
K = 2,PIB real,39,-0.11402767043572334,0.008926596605493223,0.19527920622191017
K = 2,PIB real,40,-0.11343370716721568,0.009474463083943261,0.1952496273659905
K = 2,PIB real,41,-0.1143959237811902,0.009966284093426689,0.19471734958546907
K = 2,PIB real,42,-0.11293000157821068,0.013962161043635323,0.19517557241986588
K = 2,PIB real,43,-0.11165790013692051,0.02102618764932751,0.19919305913518193
K = 2,PIB real,44,-0.11255671117067999,0.02281366195232663,0.2050780073104418
K = 2,PIB real,45,-0.10876965573803017,0.023738390987355723,0.20869863566957025
K = 2,PIB real,46,-0.10732044621286632,0.024463185043615707,0.20689916713474216
K = 2,PIB real,47,-0.1088188947699564,0.024739110911043735,0.20559824836356996
K = 2,PIB real,48,-0.1103030975536031,0.02665750787613891,0.20397539182413843
K = 2,PIB real,49,-0.1086251191628454,0.026548184720001526,0.20406118841663773
K = 2,PIB real,50,-0.1063959466295884,0.03079125757628718,0.204949594004609
K = 2,PIB real,51,-0.10516713904020447,0.03428628699907231,0.20516325978320626
K = 2,PIB real,52,-0.10448384794863855,0.03547915780217308,0.21470202321032272
K = 2,PIB real,53,-0.10348852580566639,0.03690242455209604,0.21874327932781115
K = 2,PIB real,54,-0.10317730252809665,0.039179968937810145,0.2226363963498524
K = 2,PIB real,55,-0.10323177963281538,0.03998782187151699,0.2183242295834406
K = 2,PIB real,56,-0.10019085114512642,0.04061234435825636,0.21924106168774765
K = 2,PIB real,57,-0.0993818954074474,0.042094584095133586,0.21958638822967405
K = 2,PIB real,58,-0.09888456095614231,0.04296479579242766,0.21835231389015364
K = 2,PIB real,59,-0.09931449289489346,0.04405608775108258,0.21678358449768786
K = 2,PIB real,60,-0.0983664359746598,0.04509672017033495,0.21512991060896183
K = 11,PIB real,0,-0.09490718598174575,0.014184364537304888,0.13538514906198423
K = 11,PIB real,1,-0.1056353644159947,-0.0036457262240115864,0.1030696614552723
K = 11,PIB real,2,-0.09906053036492912,0.004003604538463449,0.10542796454329216
K = 11,PIB real,3,-0.10826460035247168,0.007141199604638048,0.1088805488924099
K = 11,PIB real,4,-0.10941008635170432,0.011114937008651928,0.11816793542448362
K = 11,PIB real,5,-0.11135900440326549,0.013313292343733076,0.1278868654208345
K = 11,PIB real,6,-0.10486250272217196,0.02398369299707145,0.14149362830749318
K = 11,PIB real,7,-0.09591485171671557,0.03482656359658857,0.15372710239500403
K = 11,PIB real,8,-0.08676228668007561,0.0488817421309619,0.17427289325111628
K = 11,PIB real,9,-0.0818706507317805,0.05660407480026497,0.19286717565122596
K = 11,PIB real,10,-0.06530958113914627,0.06784403679452357,0.20697596329561874
K = 11,PIB real,11,-0.05562442761700706,0.08023605554591463,0.21600751757373948
K = 11,PIB real,12,-0.06254683255284514,0.07919517133607648,0.22469677744112954
K = 11,PIB real,13,-0.058709906362356276,0.08137623779695854,0.23168707128981994
K = 11,PIB real,14,-0.060960501121100914,0.08494272504972436,0.23539141823585344
K = 11,PIB real,15,-0.060858849604554545,0.08876040709296253,0.24104056515443834
K = 11,PIB real,16,-0.05905699445781125,0.09275520129958181,0.2430409976386456
K = 11,PIB real,17,-0.061006906564867534,0.09116063386947015,0.2400278024981685
K = 11,PIB real,18,-0.061678600433074465,0.0915415273768142,0.23167630259568342
K = 11,PIB real,19,-0.062049428455082864,0.09514931493086708,0.2287024765573427
K = 11,PIB real,20,-0.06104773991198686,0.09301558495944331,0.23243537501105754
K = 11,PIB real,21,-0.06147477833723921,0.08864171042961959,0.22879432658642612
K = 11,PIB real,22,-0.061868206986850485,0.08430465523693004,0.22540208414275023
K = 11,PIB real,23,-0.0663493566896399,0.08195971686133695,0.2230498087110142
K = 11,PIB real,24,-0.06630209067865109,0.0815422512973083,0.221281364807024
K = 11,PIB real,25,-0.07296485226065536,0.07491241914763755,0.2187294089700971
K = 11,PIB real,26,-0.07071872716745761,0.07050792957111648,0.21754657217798704
K = 11,PIB real,27,-0.07262996891865363,0.07033957675201011,0.2145539013571784
K = 11,PIB real,28,-0.07549241286217391,0.06998847142275355,0.21251991760111005
K = 11,PIB real,29,-0.07855140156929456,0.07041658891101897,0.2111579873293453
K = 11,PIB real,30,-0.08131700462329364,0.07108180146019205,0.21050548035002692
K = 11,PIB real,31,-0.08423886607649464,0.07055432122339246,0.21017632596463093
K = 11,PIB real,32,-0.08688018053724816,0.071640533187633,0.21372082925212724
K = 11,PIB real,33,-0.0896797835379492,0.07104638669737094,0.21631680090913577
K = 11,PIB real,34,-0.09100367336258788,0.07130598014059404,0.21632687446240628
K = 11,PIB real,35,-0.09098051228697848,0.07227587803477734,0.21534397192476099
K = 11,PIB real,36,-0.08938525609996688,0.07301273832954042,0.21521835877609907
K = 11,PIB real,37,-0.08765897224933207,0.07260415255738888,0.21938275949208075
K = 11,PIB real,38,-0.08660702225498786,0.07226057682832769,0.22001843555292253
K = 11,PIB real,39,-0.0872759025267308,0.0739822984633724,0.22379673305173772
K = 11,PIB real,40,-0.09061831588607677,0.07452540895714625,0.22495944702852338
K = 11,PIB real,41,-0.09297877947787639,0.07674021777988976,0.22556980737143323
K = 11,PIB real,42,-0.09301904382323287,0.0770042327758388,0.22928521264835625
K = 11,PIB real,43,-0.0906114976268633,0.07979355285603718,0.2310691735166745
K = 11,PIB real,44,-0.08376582501689393,0.07985882534697876,0.2322725095799127
K = 11,PIB real,45,-0.08240658951949738,0.08152842426122936,0.23557776319180537
K = 11,PIB real,46,-0.08396209250125031,0.08239999773766446,0.23754220780049834
K = 11,PIB real,47,-0.08225021592026986,0.08273106474626735,0.2360158090471899
K = 11,PIB real,48,-0.08046935380523348,0.08278594136398279,0.24110352908271818
K = 11,PIB real,49,-0.07596719435749857,0.08364031464005314,0.24448658753002672
K = 11,PIB real,50,-0.07469299012499667,0.08562342530634295,0.24347656834711012
K = 11,PIB real,51,-0.07314230137412016,0.08732622406714868,0.2475863672975137
K = 11,PIB real,52,-0.07178966877180824,0.08924196628597264,0.2520909576345906
K = 11,PIB real,53,-0.07078874623358956,0.09098477503536587,0.25707260363668266
K = 11,PIB real,54,-0.07027900453257123,0.0919966849502177,0.2624511044951251
